project_id,substore,url,is_fork,is_archived,is_disabled,stars,watchers,size,open_issues,buggy_issues,all_issues,issues,forks,subscribers,language,lifetime,has_issues,has_downloads,has_wiki,has_pages,created,updated,pushed,default_branch,license,homepage,description,heads,commits,authors,committers,users,paths,snapshots,unique_files,original_files,impact,files,major_language,major_language_ratio,major_language_changes,all_forks_count,max_commit_delta,avg_commit_delta,first_commit,last_commit,is_abandoned,locs,duplicated_code,is_valid,max_experience,project_experience,authors_contributing_95%_commits,authors_contributing_80%_commits,authors_contributing_50%_commits,authors_contributing_95%_changes,authors_contributing_80%_changes,authors_contributing_50%_changes
37,Generic,https://github.com/abelovq/react-draggable-snap.git,false,false,false,0,0,5908,17,,,,0,1,JavaScript,247849726,true,true,true,false,1585668700,1585680807,1654093035,"master","MIT License","","",18,464,58,30,59,70,619,619,0,619,70,Other,0.663447251114413,893,0,14159101,3572555,247931714,81988,false,12287,0,true,45,10.943965517241379,34,3,1,16,2,1
38,Generic,https://github.com/abettega/to-de-olho-client.git,false,false,false,4,4,44567,19,,,,2,4,JavaScript,89452506,true,true,true,false,1564605877,1571082739,1654058386,"master","","https://to-de-olho-app.herokuapp.com","Um aplicativo de monitoração de políticos, feito com o MERN Stack. Client side.",32,148,6,5,7,137,282,275,0,275,137,JavaScript,0.4157232704402516,661,0,13194449,11252098,89569090,116584,false,16238,0,true,35,5.743243243243243,5,3,1,4,2,1
39,Generic,https://github.com/abnets/bidir-web-dev.git,false,false,false,0,0,12009,1,,,,0,1,JavaScript,79534850,true,true,true,false,1589145631,1589149701,1589149697,"develop","","","",2,717,6,6,7,1700,4247,3960,6,3972,1700,JavaScript,0.5583568144742697,3765,0,7234635,2219483,144560275,65025425,true,314391,0,true,35,14.206415620641563,2,1,1,2,1,1
40,Generic,https://github.com/acij-ar/monitor-presupuestario.git,false,false,false,0,0,8386,7,,,,0,2,JavaScript,100947243,true,true,true,false,1550530917,1647128324,1651478507,"master","","monitorpresupuestario.acij.org.ar","",9,1021,5,4,6,922,2412,2410,0,2410,922,JavaScript,0.7026802410139207,3382,0,12198732,1619097,103643776,2696533,false,20527,0,true,35,15.697355533790402,3,1,1,1,1,1
41,Generic,https://github.com/acjim/acmacsdesktop.git,false,false,false,7,7,4668,24,,,,3,7,JavaScript,42058108,true,true,true,false,1431526434,1574250818,1521196620,"master","","","Desktop application for antigenic cartography.",7,944,12,13,13,3071,2306,1928,41,2194,3071,Other,0.29853200234879623,2542,0,10649398,1562656,222648608,180590500,true,59783,0,true,9,7.513771186440678,6,4,2,5,3,1
42,Generic,https://github.com/adriaangiel/quiklease.git,false,false,false,0,0,4666,24,,,,1,4,JavaScript,99076031,true,true,true,false,1554209544,1560862306,1654053957,"master","","","",32,136,7,7,8,130,263,258,0,258,130,JavaScript,0.4906303236797274,864,0,18957706,12252252,99197102,121071,false,14580,0,true,35,7.044117647058823,5,3,1,3,2,1
43,Generic,https://github.com/adrianyanglinde/knowledge-hierarchy-f2e.git,false,false,false,0,0,3802,27,,,,0,2,JavaScript,187795828,true,true,true,false,1466262494,1615788025,1654058325,"master","","","",27,140,5,5,6,308,257,250,2,255,308,JavaScript,0.44680851063829785,231,0,74895496,11899700,187912545,116717,false,17114,0,true,35,9.907142857142857,4,3,2,4,3,2
44,Generic,https://github.com/afozbek/freecodecamp-projects.git,false,false,false,2,2,2967,68,,,,0,0,JavaScript,97820805,true,true,true,false,1556294482,1598246882,1654115447,"master","","","FreeCodeCamp curriculum challenges",69,179,2,2,3,2180,1251,518,0,518,2180,Other,0.5808636748518204,1372,0,13872009,9292783,97880402,59597,false,192362,0,true,35,15.335195530726256,2,2,1,1,1,1
45,Generic,https://github.com/afrobanana/true-music.git,false,false,false,0,0,45306,17,,,,2,2,JavaScript,92946017,true,true,true,true,1561121535,1590647054,1654067518,"master","","https://www2.afrobananarepublic.com/true-music","",20,565,4,3,5,239,218,218,0,218,239,Other,0.8607541605224353,4086,0,13337976,2932744,93053516,107499,false,11309,0,true,35,5.734513274336283,2,2,1,2,1,1
46,Generic,https://github.com/agilesparks/sudoku.git,false,false,false,0,0,3413,18,,,,0,3,JavaScript,82934386,true,true,true,false,1568264617,1580232525,1651199054,"master","","","A place to practice unit and integration tests for react",19,169,2,2,3,2187,2010,240,12,264,2187,JavaScript,0.7143847487001733,2061,0,13682547,9828566,85910370,2975984,false,24972,0,true,35,7.3017751479289945,2,1,1,1,1,1
47,Generic,https://github.com/ahmedelshenawy25/ask-fm-clone.git,false,false,false,0,0,1365,8,,,,1,1,JavaScript,83192383,true,true,true,false,1566936050,1610053267,1649957483,"development","","","An ask.fm clone where users create profiles and can send each other questions anonymously or reveal their identity",10,134,2,2,3,300,720,718,0,718,300,JavaScript,0.8995010691375623,1262,0,15846447,12405695,87409947,4217564,false,27616,0,true,35,9.611940298507463,2,1,1,1,1,1
48,Generic,https://github.com/ahmedsaoudi85/portfolio.git,false,false,false,0,0,3834,17,,,,0,1,JavaScript,107883276,true,true,true,false,1566484795,1566584475,1649475284,"master","","","",18,38,5,5,6,138,190,5,0,5,138,JavaScript,0.5465587044534413,270,0,22729227,44580413,112583043,4699767,false,13902,0,true,35,16.210526315789473,3,2,2,4,1,1
49,Generic,https://github.com/aircloudy/playbar.git,false,false,false,0,0,5403,16,,,,1,2,JavaScript,74095299,true,true,true,false,1572393829,1575067854,1644685360,"master","","","",18,171,8,6,9,97,229,224,0,224,97,Other,0.5177065767284992,307,0,15675098,9674620,83584986,9489687,false,11912,0,true,35,4.181286549707602,4,2,1,4,2,1
50,Generic,https://github.com/aishanya11/hackrupt.git,false,false,false,0,0,14174,0,,,,0,1,JavaScript,69979091,false,true,true,true,1515508235,1585487147,1585487144,"master","","","",3,101,3,4,4,290,95,91,1,96,290,Other,0.59958071278826,572,0,67912266,15854871,138666991,68687900,true,12961,0,true,2,1.5742574257425743,2,2,1,3,2,2
51,Generic,https://github.com/ajbkr/back.git,false,false,false,3,3,982,9,,,,1,2,JavaScript,78516784,true,true,true,true,1566152166,1600574628,1644668897,"master","","https://ajbkr.github.io/back/","Andrew J. Baker's js13kGames 2019 entry",11,131,2,2,3,64,235,235,0,235,64,Other,0.4714285714285714,165,0,15995754,12651299,88022946,9506162,false,11010,0,true,35,4.267175572519084,2,1,1,1,1,1
52,Generic,https://github.com/akandula/core-js.git,false,false,false,0,0,17710,0,,,,0,2,JavaScript,208609380,true,true,true,false,1582747173,1582748146,1582748143,"master","MIT License","","",4,2770,78,49,79,8122,21564,16220,408,17060,8122,JavaScript,0.8134184503692578,32492,0,11119718,571596,280036439,71427059,true,59688,1,true,38,33.265342960288805,2,1,1,1,1,1
53,Generic,https://github.com/aklevecz/medlab-bridge.git,false,false,false,0,0,9363,24,,,,0,1,JavaScript,88783958,true,true,true,true,1565275044,1594525418,1654059165,"master","","","",26,147,6,6,7,170,337,321,0,321,170,Other,0.5849923430321593,382,0,17410401,11329172,88899858,115900,false,74200,0,true,35,8.931972789115646,5,3,1,4,2,1
54,Generic,https://github.com/akshayharti/todo-list.git,false,false,false,0,0,2862,31,,,,0,1,JavaScript,80184210,true,true,true,true,1573913641,1601212407,1654097853,"master","","","Todo list",33,140,4,4,5,103,237,229,0,229,103,Other,0.5758354755784062,224,0,10594245,11899985,80261427,77217,false,16179,0,true,35,11.292857142857143,3,2,1,3,2,1
55,Generic,https://github.com/albertcyberarkpoc/dvsaalbert.git,false,false,false,0,0,18405,38,,,,0,1,JavaScript,107329090,true,true,true,false,1584544352,1584544959,1652731183,"master","GNU General Public License v3.0","","",44,306,9,6,11,318,271,269,0,269,318,Other,0.6669236700077101,865,0,10533513,5418791,108772979,1443889,false,24313,0,true,9,5.212418300653595,3,2,1,3,1,1
56,Generic,https://github.com/aleksk1ng/mern-fullstack-social-network--example.git,false,false,false,1,1,7969,29,,,,0,0,JavaScript,93279430,true,true,true,false,1560775081,1634393346,1654054398,"master","","","MERN-FullStack-social-network--example",30,129,2,2,3,138,398,390,1,393,138,JavaScript,0.7741228070175439,353,0,12291532,12922300,93400104,120674,false,25806,0,true,35,8.643410852713178,2,2,1,2,1,1
57,Generic,https://github.com/alexandramcmorris/cs4450antibuddies.git,false,false,false,0,0,49113,7,,,,1,1,JavaScript,93796349,true,true,true,false,1580355786,1600855511,1651243953,"master","","","Our groups extension on the Antibuddies web based application through Windows",11,148,9,6,10,120,292,283,0,283,120,HTML,0.4168012924071082,258,0,16340159,11232952,96727463,2931114,false,15717,0,true,35,4.628378378378378,7,4,3,6,4,2
58,Generic,https://github.com/alexantom/store-itay.git,false,false,false,0,0,11143,30,,,,0,1,JavaScript,120059308,true,true,true,false,1590455414,1590460429,1649485334,"master","MIT License","","Italy Store",31,241,59,11,64,198,549,548,0,548,198,JavaScript,0.7407407407407407,520,0,12282008,6872856,124749048,4689740,false,8977,0,true,35,6.145228215767635,46,13,2,25,4,2
59,Generic,https://github.com/alexgalays/abyssa-js.git,false,false,false,71,71,1489,8,,,,9,8,JavaScript,283196951,true,true,true,false,1370324471,1603147127,1653521559,"master","MIT License","","Framework agnostic hierarchical router for single page applications",12,260,12,12,13,83,878,877,0,877,83,JavaScript,0.7322834645669292,744,0,78348318,6384253,283848842,653520,false,8236,0,true,35,7.369230769230769,4,2,1,3,2,1
60,Generic,https://github.com/alexiscrack3/spinny-api.git,false,false,false,0,0,685,14,,,,1,0,JavaScript,93247942,true,true,true,false,1560879772,1628896923,1654127718,"main","MIT License","","An API to enter the results of ping pong matches and rate players using the ELO system",16,368,6,6,7,250,798,783,11,805,250,JavaScript,0.3560830860534125,360,0,24410126,4507160,93295313,47371,false,12650,0,true,35,10.33695652173913,4,1,1,3,1,1
61,Generic,https://github.com/alexjoly13/livefinder-client.git,false,false,false,0,0,581,1,,,,0,1,JavaScript,58606898,true,true,true,false,1583662485,1588262922,1609883772,"master","","","",2,109,4,4,5,56,287,280,0,280,56,JavaScript,0.7002652519893899,528,0,31605467,14906331,102898203,44291305,true,18026,0,true,35,1.9174311926605505,3,3,2,3,3,2
62,Generic,https://github.com/alexmarucci/gformat-html.git,false,false,false,2,2,16639,47,,,,0,1,JavaScript,119018789,true,true,true,false,1583612725,1622221759,1648278560,"master","MIT License","","An humble HTML Formatter",47,586,10,5,11,874,2575,2564,1,2566,874,Other,0.5112679880532175,1883,0,22426519,2817570,124915331,5896542,false,41574,0,true,35,9.252559726962458,4,2,1,3,2,1
63,Generic,https://github.com/alinaamoskalenko/portfolio.git,false,false,false,0,0,29590,12,,,,0,1,JavaScript,115210391,true,true,true,true,1538834876,1572081266,1654045247,"master","MIT License","https://alinaamoskalenko.github.io/Portfolio/","The repository with portfolio (Alina Moskalenko)",13,108,3,2,4,905,488,487,0,487,905,Other,0.5561009817671809,793,0,22424494,15458367,115340253,129862,false,199707,0,true,35,10.694444444444445,3,2,1,1,1,1
64,Generic,https://github.com/alisdemir33/alisreactrepo.git,false,false,false,0,0,11147,169,,,,0,0,JavaScript,91449077,true,true,true,false,1562612394,1609613148,1654061473,"master","","","used for my react sample projects",177,339,4,4,5,3020,2755,1374,410,2370,3020,JavaScript,0.7019144748613347,3923,0,12371105,4893673,91562718,113641,false,447852,0,true,35,20.899705014749262,3,3,1,3,1,1
65,Generic,https://github.com/almogd92/tut2.git,false,false,false,0,0,1658,8,,,,0,2,JavaScript,290626646,true,true,true,false,1584517637,1584523330,1651216234,"master","BSD 2-Clause ""Simplified"" License","","",10,481,63,41,64,64,658,657,0,657,64,JavaScript,0.5145945945945946,476,0,23247229,3440034,293585520,2958874,false,11692,0,true,35,6.17047817047817,38,8,2,27,7,2
66,Generic,https://github.com/almoretto/formbuilder.git,false,false,false,0,0,41840,0,,,,0,1,JavaScript,123265471,true,true,true,true,1592916438,1592917892,1592917885,"master","Apache License 2.0","","",4,379,13,13,14,1368,922,850,0,850,1368,Other,0.5406824146981627,1442,0,23540204,4100101,227602500,104337029,true,135539,0,true,7,5.076517150395778,7,5,3,8,6,3
67,Generic,https://github.com/altaconsejeriatic/ofbtriviabackend.git,false,false,false,1,1,302,8,,,,1,3,JavaScript,103842345,true,true,true,false,1562587845,1596904775,1644683542,"development","","","",9,120,5,5,6,47,188,188,0,188,47,JavaScript,0.706855791962175,299,0,25864764,13820870,113333924,9491579,false,5405,0,true,35,4.108333333333333,4,2,1,3,2,1
68,Generic,https://github.com/alumnicelliitr/raionzo-website.git,false,false,false,0,0,31670,18,,,,3,3,JavaScript,94662620,true,true,true,true,1559393918,1587231401,1654056541,"master","","https://raionzo.in/","Website of the alumni fest Raionzo.",21,189,11,7,12,48847,20067,3694,1585,9383,48847,JavaScript,0.7251615899678755,56208,0,17083428,8798173,94781266,118646,false,15716,0,true,35,5.417989417989418,9,6,3,2,2,1
69,Generic,https://github.com/amatana/partnersnetar.git,false,false,false,2,2,1354,15,,,,1,2,JavaScript,87081280,true,true,true,false,1562338328,1602428928,1649473637,"master","","","Social network for entrepreneurs, it aims to meet projects, people and companies allong the way to make ideas happen.",19,154,5,3,6,136,163,162,0,162,136,Other,0.5779092702169625,586,0,15823317,10780873,91782770,4701490,false,7808,0,true,35,6.642857142857143,4,3,1,4,3,2
