project_id,year,chain_length,frequency
6223,2011,1,61
6223,2016,1,60
6496,2010,1,70
6502,2009,1,50587
6502,2009,2,1450
6502,2009,3,170
6502,2009,4,29
6502,2009,5,8
6502,2009,6,5
6502,2009,8,1
6502,2010,1,50691
6502,2010,2,1457
6502,2010,3,170
6502,2010,4,29
6502,2010,5,8
6502,2010,6,5
6502,2010,8,1
6809,2012,1,837
6809,2012,2,75
6809,2012,3,43
6809,2012,4,5
6809,2013,1,837
6809,2013,2,75
6809,2013,3,43
6809,2013,4,5
6809,2014,1,842
6809,2014,2,72
6809,2014,3,43
6809,2014,4,5
6809,2014,5,1
6809,2014,7,1
7191,2008,1,425
7191,2008,2,8
7191,2008,3,1
7191,2009,1,425
7191,2009,2,8
7191,2009,3,1
7205,2010,1,177
7205,2010,2,10
7205,2010,3,1
7205,2010,4,1
7205,2010,5,1
7205,2010,6,1
7259,2012,1,147
7259,2012,2,19
7259,2012,3,7
7259,2012,4,2
7259,2012,5,3
7259,2013,1,221
7259,2013,2,34
7259,2013,3,12
7259,2013,4,4
7259,2013,5,6
7561,2010,1,136
7561,2010,2,8
7771,2010,1,53
7771,2011,1,53
7771,2013,1,53
7914,2012,1,2272
7914,2012,2,245
7914,2012,3,28
7914,2012,4,6
7914,2012,5,3
7914,2012,7,1
7914,2015,1,2832
7914,2015,2,256
7914,2015,3,42
7914,2015,4,7
7914,2015,5,7
7914,2015,6,1
7914,2015,11,1
8124,2012,1,109
8124,2013,1,110
8124,2014,1,109
8124,2015,1,110
8124,2020,1,110
8270,2010,1,65
8270,2010,2,2
8270,2010,3,1
8400,2012,1,94
8400,2012,2,4
8447,2009,1,297
8447,2009,2,74
8549,2009,1,9282
8549,2009,2,265
8549,2009,3,42
8549,2009,6,1
8732,2009,1,76
8732,2009,2,3
8732,2017,1,86
8732,2017,2,4
8732,2017,3,2
8732,2017,4,1
8894,2010,1,97
8894,2010,2,20
9648,2009,1,153
9648,2009,2,11
9648,2009,3,1
10704,2008,1,966
10704,2008,2,67
10704,2008,3,2
11942,2010,1,86
11942,2010,2,1
11961,2010,1,871
11961,2010,2,53
11961,2010,3,5
11961,2011,1,871
11961,2011,2,53
11961,2011,3,5
11961,2014,1,871
11961,2014,2,53
11961,2014,3,5
12032,2008,1,201
12032,2014,1,216
12032,2014,2,1
12143,2010,1,45
12143,2010,2,1
12143,2010,3,3
12143,2011,1,67
12143,2011,2,1
12143,2011,3,3
12211,2010,1,130
12211,2010,2,12
12211,2011,1,136
12211,2011,2,13
12456,2010,1,93
12456,2010,2,12
12456,2011,1,120
12456,2011,2,17
12456,2011,3,2
12512,2010,1,1431
12512,2010,2,53
12512,2010,3,3
12589,2009,1,17
12589,2009,2,1
12606,2009,1,254
12606,2009,2,10
12606,2009,3,2
12761,2011,1,191
12761,2011,2,4
12761,2011,3,1
12761,2012,1,191
12761,2012,2,4
12761,2012,3,1
12832,2009,1,56
12832,2009,2,2
12889,2011,1,46
12889,2011,2,2
12889,2012,1,101
12889,2012,2,13
12894,2010,1,58
12894,2010,2,1
12927,2010,1,29008
12927,2010,2,2487
12927,2010,3,451
12927,2010,4,102
12927,2010,6,9
12927,2010,7,22
12927,2010,9,17
13288,2010,1,1599
13288,2010,2,111
13288,2010,3,21
13288,2010,4,1
13294,2009,1,4
13294,2009,2,1
13678,2009,1,47
13678,2009,2,3
13678,2010,1,47
13678,2010,2,3
13879,2010,1,1788
13879,2010,2,60
13879,2015,1,1807
13879,2015,2,60
14154,2012,1,59
14154,2012,2,3
14945,2011,1,3866
14945,2011,2,65
15723,2012,1,47
15723,2012,2,5
15723,2012,3,1
15723,2014,1,47
15723,2014,2,5
15723,2014,3,1
16058,2009,1,276
16058,2009,2,10
16276,2010,1,75
16276,2010,2,6
16276,2011,1,77
16276,2011,2,6
16544,2010,1,52
16544,2010,2,8
16581,2012,1,130
16581,2012,2,13
16581,2013,1,125
16581,2013,2,13
16722,2012,1,3507
16722,2012,2,211
16722,2012,3,93
16722,2012,4,74
16722,2012,5,7
16722,2012,6,13
16722,2012,8,3
16722,2012,9,4
16722,2012,10,3
16722,2012,11,1
16722,2012,12,1
16722,2012,13,1
16722,2012,14,3
16722,2012,16,1
16722,2012,18,2
16722,2012,22,1
16722,2012,24,1
16722,2012,26,1
16722,2012,27,1
17117,2015,1,135809
17117,2015,2,14936
17117,2015,3,2488
17117,2015,4,271
17117,2015,5,57
17117,2015,6,52
17117,2015,7,19
17117,2015,8,20
17117,2015,9,3
17117,2015,10,10
17117,2015,13,1
17117,2015,16,1
17176,2011,1,176
17176,2011,2,13
17176,2011,3,4
17176,2011,4,3
17176,2011,6,1
17176,2011,8,1
17176,2011,10,1
17176,2012,1,178
17176,2012,2,13
17176,2012,3,4
17176,2012,4,3
17176,2012,6,1
17176,2012,8,1
17176,2012,10,1
17176,2013,1,176
17176,2013,2,13
17176,2013,3,4
17176,2013,4,3
17176,2013,6,1
17176,2013,8,1
17176,2013,10,1
17490,2011,1,88
17490,2011,2,4
17490,2017,1,88
17490,2017,2,4
17866,2009,1,1682
17866,2009,2,19
17866,2009,3,2
17866,2009,4,7
17868,2010,1,187
17868,2010,2,23
17868,2010,3,2
17868,2010,4,1
17943,2009,1,88
17943,2009,2,1
18028,2012,1,19
18028,2012,2,9
18028,2012,5,1
18043,2015,1,105
18043,2015,2,1
18043,2015,3,2
18330,2015,1,1761
18330,2015,2,84
18330,2015,3,16
18330,2015,4,5
18330,2015,5,7
18330,2015,6,1
18572,2009,1,338
18572,2009,2,9
18661,2009,1,10
18661,2020,1,10
18711,2009,1,373
18711,2009,2,12
18738,2008,1,1155
18738,2008,2,21
18738,2009,1,1158
18738,2009,2,21
18798,2010,1,264
18798,2010,2,14
18798,2010,3,1
18798,2012,1,263
18798,2012,2,14
18798,2012,3,1
18878,2009,1,317
18878,2009,2,30
18878,2009,3,5
18878,2009,5,1
18885,2009,1,18
19091,2010,1,47
19091,2010,2,1
19097,2009,1,34
19097,2009,2,6
19146,2010,1,211
19146,2010,2,3
19146,2013,1,213
19146,2013,2,3
19411,2009,1,208
19411,2009,2,6
19411,2009,3,6
19657,2010,1,6
19657,2010,2,1
19657,2011,1,14
19657,2011,2,2
19775,2011,1,91
19775,2011,2,13
19775,2011,3,1
19873,2009,1,126
19873,2009,2,13
19873,2009,4,1
19966,2009,1,110
19966,2009,2,2
20034,2013,1,1752
20034,2013,2,21
20034,2013,3,2
20034,2019,1,1753
20034,2019,2,21
20034,2019,3,2
20034,2020,1,1752
20034,2020,2,21
20034,2020,3,2
20325,2013,1,1179
20325,2013,2,28
20325,2013,3,2
20934,2009,1,89
20934,2009,2,8
21167,2010,1,2
21578,2016,1,152
21578,2016,2,9
21578,2016,3,1
21578,2016,4,6
22129,2013,1,121
22129,2013,2,1
22129,2017,1,121
22129,2017,2,1
22129,2018,1,121
22129,2018,2,1
23680,2009,1,63
23680,2009,2,2
23680,2009,3,1
23680,2010,1,64
23680,2010,2,2
23680,2010,3,1
26385,2009,1,89
27826,2017,1,655
27826,2017,2,13
27826,2017,3,1
27826,2018,1,655
27826,2018,2,13
27826,2018,3,1
28816,2013,1,2080
28816,2013,2,115
28816,2013,3,10
28816,2013,6,2
28816,2013,7,1
29976,2014,1,18
30102,2013,1,241
30102,2013,2,9
31969,2009,1,152
31969,2009,2,2
33205,2011,1,1
33666,2013,1,46
33666,2013,2,1
33666,2014,1,46
33666,2014,2,1
35690,2009,1,105
35690,2009,2,4
35885,2015,1,131
35885,2015,2,4
36078,2008,1,639
36078,2008,2,3
36078,2010,1,639
36078,2010,2,3
36078,2017,1,639
36078,2017,2,3
37345,2013,1,6
37345,2014,1,104
37345,2014,2,7
37345,2014,3,1
38329,2009,1,52
38329,2009,2,1
40213,2009,1,30
41615,2013,1,712
41615,2013,2,4
41615,2013,3,1
42046,2009,1,62
44643,2015,1,28
44643,2015,3,1
48795,2013,1,909
48795,2013,2,20
48795,2013,3,2
48795,2014,1,906
48795,2014,2,20
48795,2014,3,2
49762,2010,1,11
50856,2009,1,126
50856,2009,2,15
53680,2012,1,834
53680,2012,2,55
53680,2012,3,78
53680,2012,4,41
53680,2012,5,2
53680,2012,6,6
53680,2012,7,5
53680,2012,8,8
53680,2012,10,3
53680,2012,11,3
53680,2012,12,1
53680,2012,15,1
53680,2012,16,5
53680,2012,21,1
53680,2012,24,1
53680,2012,28,1
53680,2012,30,2
53680,2013,1,834
53680,2013,2,55
53680,2013,3,78
53680,2013,4,41
53680,2013,5,2
53680,2013,6,6
53680,2013,7,5
53680,2013,8,8
53680,2013,10,3
53680,2013,11,3
53680,2013,12,1
53680,2013,15,1
53680,2013,16,5
53680,2013,21,1
53680,2013,24,1
53680,2013,28,1
53680,2013,30,2
53680,2015,1,1090
53680,2015,2,64
53680,2015,3,97
53680,2015,4,46
53680,2015,5,4
53680,2015,6,7
53680,2015,7,5
53680,2015,8,7
53680,2015,10,8
53680,2015,11,3
53680,2015,12,2
53680,2015,14,1
53680,2015,15,3
53680,2015,16,6
53680,2015,18,1
53680,2015,21,1
53680,2015,24,1
53680,2015,28,1
53680,2015,30,4
53680,2021,1,1527
53680,2021,2,67
53680,2021,3,97
53680,2021,4,46
53680,2021,5,4
53680,2021,6,7
53680,2021,7,5
53680,2021,8,7
53680,2021,10,8
53680,2021,11,3
53680,2021,12,2
53680,2021,14,1
53680,2021,15,3
53680,2021,16,6
53680,2021,18,1
53680,2021,21,1
53680,2021,24,1
53680,2021,28,1
53680,2021,30,4
54729,2013,1,693
54729,2013,2,67
54729,2013,3,2
54729,2013,5,2
54729,2013,6,1
55791,2015,1,2461
55791,2015,2,352
55791,2015,3,27
55791,2015,4,32
55791,2015,5,1
55791,2015,6,2
55817,2010,1,3663
55817,2010,2,70
55817,2010,3,3
56904,2016,1,176
56904,2016,2,14
56904,2016,5,1
57371,2009,1,175
57371,2009,2,7
57371,2009,3,4
57371,2009,4,1
57371,2013,1,175
57371,2013,2,7
57371,2013,3,4
57371,2013,4,1
60079,2017,1,234
60079,2017,2,17
60079,2017,3,3
61009,2013,1,139
61009,2013,2,5
61117,2015,1,222
61117,2015,2,22
61117,2015,3,2
61117,2015,4,1
61279,2011,1,2797
61279,2011,2,120
61279,2011,3,8
61279,2011,11,1
61279,2011,12,1
61279,2014,1,2797
61279,2014,2,120
61279,2014,3,8
61279,2014,11,1
61279,2014,12,1
62085,2013,1,25
62085,2013,2,4
63374,2016,1,661
63374,2016,2,129
63374,2016,3,5
67448,2013,1,758
67448,2013,2,23
67448,2020,1,771
67448,2020,2,24
68235,2015,1,199
68235,2015,2,14
69726,2009,1,865
69726,2009,2,66
69726,2009,3,2
72368,2017,1,1773
72368,2017,2,121
72368,2017,3,3
78301,2016,1,1013
78301,2016,2,44
78301,2016,3,6
78301,2016,6,1
80574,2012,1,349
80574,2012,2,33
80574,2012,3,5
80574,2013,1,349
80574,2013,2,33
80574,2013,3,5
80574,2018,1,349
80574,2018,2,33
80574,2018,3,5
83137,2015,1,426
83137,2015,2,69
83137,2015,4,2
83322,2009,1,1699
83322,2009,2,70
83322,2009,3,5
83322,2009,4,5
83322,2009,7,1
83357,2015,1,10
83357,2015,2,1
84907,2016,1,240
84907,2016,2,5
84907,2018,1,253
84907,2018,2,5
85465,2012,1,583
85465,2012,2,2
89141,2009,1,121
89141,2009,2,8
89141,2009,3,3
91299,2013,1,714
91299,2013,2,22
91299,2013,3,6
94195,2016,1,4058
94195,2016,2,309
94195,2016,3,31
95819,2014,1,384
95819,2014,2,6
95888,2009,1,39
95888,2009,2,4
97446,2008,1,466
97446,2008,2,30
99416,2009,1,50801
99416,2009,2,1472
99416,2009,3,172
99416,2009,4,29
99416,2009,5,9
99416,2009,6,6
99416,2009,8,1
100811,2015,1,5435
100811,2015,2,356
100811,2015,3,50
100811,2015,4,10
100811,2015,5,4
100811,2015,6,2
100811,2015,7,2
104161,2014,1,55
104161,2014,2,6
104161,2014,4,1
104161,2015,1,55
104161,2015,2,6
104161,2015,4,1
104466,2016,1,513
104466,2016,2,29
104466,2016,3,9
104466,2016,4,2
104466,2016,5,1
104466,2016,6,1
104466,2016,7,1
110373,2015,1,1
111143,2015,1,268
111143,2015,2,26
111143,2015,3,1
111168,2014,1,15916
111168,2014,2,807
111168,2014,3,114
111168,2014,4,23
111168,2014,5,6
111168,2014,6,7
111168,2014,7,6
111168,2014,9,1
111168,2014,11,1
111558,2008,1,9938
111558,2008,2,213
111558,2008,3,2
111558,2008,4,1
111558,2008,5,1
111558,2008,7,2
111558,2008,9,2
112297,2015,1,4824
112297,2015,2,132
112297,2015,3,24
112297,2015,4,4
112297,2015,5,4
112297,2015,8,7
114226,2014,1,67
114226,2014,2,5
114226,2016,1,67
114226,2016,2,5
115613,2016,1,576
115613,2016,2,72
115613,2016,3,1
115613,2016,4,7
119360,2015,1,877
119360,2015,2,39
119360,2015,3,1
119360,2015,4,1
120275,2008,1,233
120275,2008,2,7
120275,2008,3,2
120275,2013,1,233
120275,2013,2,7
120275,2013,3,2
120471,2011,1,528
120471,2011,2,1
129139,2009,1,67
129139,2009,2,1
129139,2010,1,103
129139,2010,2,1
129139,2010,3,1
129878,2008,1,7108
129878,2008,2,319
129878,2008,3,20
129878,2008,4,2
131851,2017,1,1614
131851,2017,2,255
131851,2017,3,11
135815,2014,1,519
135815,2014,2,21
135815,2014,4,1
135815,2015,1,519
135815,2015,2,21
135815,2015,4,1
135815,2018,1,519
135815,2018,2,21
135815,2018,4,1
143649,2014,1,135
143649,2014,2,5
145670,2014,1,93
145670,2014,2,10
145670,2014,3,2
145670,2014,6,1
145670,2016,1,416
145670,2016,2,27
145670,2016,3,2
145670,2016,6,1
146209,2010,1,7937
146209,2010,2,253
146209,2010,3,11
146274,2015,1,31
147876,2015,1,1719
147876,2015,2,64
147876,2015,5,3
150532,2014,1,40
150532,2014,2,4
150532,2014,3,1
150532,2014,4,1
150532,2015,1,44
150532,2015,2,4
150532,2015,3,1
150532,2015,4,1
152077,2010,1,255
152077,2010,2,8
152077,2010,3,6
152643,2015,1,1
153378,2015,1,403
153378,2015,2,23
153378,2015,3,3
153378,2015,4,1
155306,2014,1,96
155306,2014,2,2
157043,2015,1,107
157043,2015,2,2
157250,2016,1,1924
157250,2016,2,99
157250,2016,3,29
157250,2016,4,4
157250,2020,1,1938
157250,2020,2,104
157250,2020,3,29
157250,2020,4,4
157438,2009,1,23
157438,2009,2,37
160742,2014,1,831
160742,2014,2,87
161051,2009,1,48
161051,2009,2,4
164596,2015,1,2520
164596,2015,2,130
164596,2015,3,18
164596,2015,4,2
164596,2015,7,2
164596,2015,13,1
169601,2014,1,107
169601,2014,2,6
169601,2015,1,107
169601,2015,2,6
169601,2017,1,107
169601,2017,2,6
169814,2008,1,1150
169814,2008,2,42
169814,2008,3,10
170510,2018,1,99
170510,2018,2,12
170510,2018,3,2
170510,2018,5,1
170510,2018,6,1
170759,2009,1,1169
170759,2009,2,128
170759,2009,3,8
170759,2020,1,1169
170759,2020,2,128
170759,2020,3,8
171673,2015,1,687
171673,2015,2,14
171673,2015,3,5
171673,2017,1,689
171673,2017,2,14
171673,2017,3,5
173819,2015,1,487
173819,2015,2,3
175776,2014,1,85
175776,2014,2,1
175776,2015,1,89
175776,2015,2,1
175864,2015,1,80
175864,2015,2,2
175864,2015,3,1
175864,2015,9,1
176409,2015,1,7225
176409,2015,2,296
176409,2015,3,13
176409,2015,4,11
176409,2015,5,9
176621,2015,1,116
176621,2016,1,116
176960,2015,1,463
176960,2015,2,32
176960,2015,3,26
176960,2015,4,3
177488,2016,1,102
177488,2016,2,1
177488,2016,8,1
177548,2015,1,604
177548,2015,2,63
177548,2015,3,7
177548,2015,4,5
177548,2015,8,1
179765,2015,1,2414
179765,2015,2,203
179765,2015,3,30
179765,2015,4,9
182299,2015,1,4039
182299,2015,2,126
182299,2015,3,17
182299,2015,4,8
183802,2015,1,2030
183802,2015,2,48
183802,2015,3,1
183802,2015,4,5
184632,2015,1,29323
184632,2015,2,1019
184632,2015,3,66
184632,2015,4,15
184632,2015,5,17
184632,2015,6,3
184632,2015,7,3
184632,2015,9,3
184632,2015,10,1
184632,2015,13,2
186258,2015,1,76
186258,2015,2,1
186300,2014,1,34
186300,2014,2,2
187333,2015,1,52
187333,2015,2,3
187450,2009,1,348
187450,2009,2,6
187450,2009,3,4
187450,2014,1,359
187450,2014,2,6
187450,2014,3,4
187450,2015,1,359
187450,2015,2,6
187450,2015,3,4
188396,2015,1,4
189578,2015,1,3377
189578,2015,2,321
189578,2015,3,70
189578,2015,4,16
189578,2015,5,4
189578,2015,6,12
189815,2015,1,13
189815,2015,2,1
193363,2015,1,122
193363,2015,2,14
193363,2015,3,3
193363,2015,5,1
194093,2014,1,768
195322,2014,1,300
195322,2014,2,8
195322,2014,3,6
195322,2014,4,6
195322,2014,5,2
195322,2014,6,1
195322,2014,7,1
195322,2014,13,1
195322,2015,1,308
195322,2015,2,8
195322,2015,3,6
195322,2015,4,6
195322,2015,5,2
195322,2015,6,1
195322,2015,7,1
195322,2015,13,1
196598,2015,1,183
196598,2015,2,9
196807,2016,1,3503
196807,2016,2,48
196807,2016,3,11
198912,2015,1,97
199622,2015,1,20
199622,2015,2,2
199662,2015,1,120
199662,2015,2,8
199662,2017,1,120
199662,2017,2,8
201094,2015,1,57
201094,2015,2,2
201094,2015,3,1
201095,2015,1,89
201095,2015,2,6
201406,2017,1,192
201406,2017,2,21
201406,2017,3,2
201406,2019,1,206
201406,2019,2,19
201406,2019,3,3
201618,2015,1,496
201618,2015,2,6
202325,2018,1,318
202325,2018,2,14
202325,2019,1,317
202325,2019,2,23
202325,2019,3,3
202325,2019,4,1
202325,2020,1,317
202325,2020,2,23
202325,2020,3,3
202325,2020,4,1
203016,2016,1,109
203016,2016,2,2
203016,2016,3,2
203017,2016,1,8595
203017,2016,2,564
203017,2016,3,59
203017,2016,4,15
203017,2016,5,4
203019,2016,1,1373
203019,2016,2,80
203019,2016,3,34
203019,2016,4,10
203019,2016,5,6
203019,2016,6,3
203019,2016,7,1
203019,2016,9,1
203019,2016,10,2
203019,2016,12,1
203019,2016,18,1
203405,2016,1,448
203405,2016,2,6
203409,2018,1,32
203409,2018,4,1
203809,2018,1,30
203809,2018,4,2
204373,2017,1,264
204373,2017,2,66
204373,2017,3,5
204373,2017,4,1
204431,2018,1,20
204431,2018,2,5
204431,2018,3,1
204884,2017,1,17
205397,2017,1,114
205397,2017,2,6
205397,2017,4,2
205397,2017,5,1
205432,2017,1,85
205432,2017,2,8
205802,2015,1,544
205802,2015,2,1
206030,2013,1,4034
206030,2013,2,284
206030,2013,3,7
206030,2013,4,6
206030,2013,6,1
206168,2018,1,66
206168,2018,2,3
206340,2018,1,130
206340,2018,2,18
206340,2018,3,4
206628,2016,1,598
206628,2016,2,29
206628,2016,3,5
206628,2016,8,1
206910,2016,1,26
206910,2016,2,4
207180,2016,1,280
207180,2016,2,18
207180,2020,1,280
207180,2020,2,18
207665,2017,1,180
207665,2017,2,3
207665,2017,3,1
207728,2015,1,111538
207728,2015,2,5940
207728,2015,3,751
207728,2015,4,205
207728,2015,5,51
207728,2015,6,10
207728,2015,7,10
207728,2015,8,4
207728,2015,9,2
207728,2015,14,1
207882,2017,1,127
207882,2017,2,8
207882,2017,3,2
208408,2015,1,9
208408,2015,2,1
208408,2015,4,1
208700,2015,1,44
209155,2017,1,65
209155,2017,2,8
209196,2018,1,226
209196,2018,2,4
209431,2015,1,1032
209431,2015,2,42
209431,2015,3,21
209431,2015,4,7
209431,2015,5,5
209431,2015,6,6
209431,2015,9,1
209431,2015,10,1
209431,2015,14,1
209526,2017,1,1745
209526,2017,2,111
209526,2017,3,2
209526,2017,4,1
209526,2017,5,1
210125,2018,1,105
210125,2018,2,5
210125,2018,3,2
210125,2018,4,6
210125,2018,5,1
210125,2018,8,1
210287,2017,1,262
210287,2017,2,36
210287,2017,3,4
210287,2019,1,262
210287,2019,2,36
210287,2019,3,4
210289,2017,1,176
210289,2017,2,9
210289,2017,3,10
210289,2017,5,1
210289,2019,1,176
210289,2019,2,9
210289,2019,3,10
210289,2019,5,1
211081,2016,1,4626
211081,2016,2,190
211081,2016,3,13
211081,2016,4,2
211081,2016,5,4
211081,2016,11,1
211230,2017,1,26
211230,2017,2,5
211230,2017,3,1
211230,2017,5,1
211827,2017,1,1142
211827,2017,2,94
211827,2017,3,24
211827,2017,4,4
211827,2017,5,1
211827,2017,6,3
212447,2017,1,102
212447,2017,2,2
212711,2017,1,354
212711,2017,2,40
212711,2017,3,2
213180,2015,1,281
213180,2015,2,44
213180,2015,3,10
213269,2018,1,166
213269,2018,2,9
213269,2018,3,1
213269,2018,4,1
213269,2018,5,2
214011,2015,1,66
214023,2017,1,349
214023,2017,2,16
214023,2017,3,2
214023,2017,4,4
214023,2017,5,2
216053,2017,1,106
216053,2017,2,4
216053,2017,4,1
216612,2017,1,148
216612,2017,2,2
216797,2015,1,27
219102,2016,1,36
219102,2016,2,4
219102,2016,3,2
219264,2018,1,88
219264,2018,2,9
220050,2018,1,137
220050,2018,2,5
220920,2017,1,127
220920,2017,2,1
221524,2016,1,118
221524,2016,2,10
221804,2016,1,45
221804,2016,2,2
221804,2016,3,1
222261,2019,1,1225
222261,2019,2,11
222276,2017,1,754
222276,2017,2,1
222276,2017,3,2
222276,2019,1,754
222276,2019,2,1
222276,2019,3,2
222614,2018,1,114
222614,2018,2,7
223073,2015,1,7448
223073,2015,2,1088
223073,2015,3,82
223073,2015,4,6
223073,2015,5,11
223073,2015,6,4
223073,2015,7,13
223073,2015,8,4
223073,2015,9,3
223073,2015,10,1
223073,2015,11,1
223164,2018,1,71
223645,2020,1,437
223645,2020,2,54
223645,2020,3,4
223645,2020,4,4
223645,2020,5,1
225058,2017,1,247
225058,2017,2,27
225058,2017,3,2
225797,2018,1,58
225797,2018,2,2
227041,2018,1,1217
227041,2018,2,170
227041,2018,3,17
227041,2018,4,11
227041,2018,5,2
227041,2018,8,1
227247,2018,1,27
227247,2018,2,1
227247,2018,3,3
230169,2017,1,8
230169,2019,1,61
230169,2019,2,8
231653,2016,1,261
231653,2016,2,11
231818,2016,1,437
231818,2016,2,3
232534,2018,1,19107
232534,2018,2,565
232534,2018,3,101
232534,2018,4,13
232534,2018,5,4
232534,2018,6,14
232534,2018,7,2
232534,2018,9,1
232863,2015,1,3105
232863,2015,2,158
232863,2015,3,16
232863,2015,4,6
232863,2015,5,1
232863,2015,6,1
232863,2015,7,4
232863,2015,8,1
233559,2015,1,186
233559,2015,2,32
233559,2015,3,12
233559,2015,4,12
233559,2015,5,3
233559,2015,8,2
233559,2015,12,1
235247,2016,1,485
235247,2016,2,10
235247,2016,4,1
235247,2016,5,3
235247,2016,6,1
235256,2016,1,2
235256,2020,1,2
235439,2018,1,458
235439,2018,2,104
235439,2018,3,9
235559,2017,1,525
235559,2017,2,39
235559,2017,3,4
235559,2017,5,1
235559,2017,7,1
235559,2019,1,525
235559,2019,2,39
235559,2019,3,4
235559,2019,5,1
235559,2019,7,1
235732,2015,1,200
235732,2015,2,28
235732,2015,3,8
236909,2018,1,258
236909,2018,2,1
236909,2020,1,258
236909,2020,2,1
238997,2018,1,1953
238997,2018,2,74
238997,2018,3,5
238997,2018,4,8
238997,2018,6,4
238997,2018,7,1
238997,2018,18,1
238997,2019,1,1953
238997,2019,2,74
238997,2019,3,5
238997,2019,4,8
238997,2019,6,4
238997,2019,7,1
238997,2019,18,1
238997,2020,1,1953
238997,2020,2,74
238997,2020,3,5
238997,2020,4,8
238997,2020,6,4
238997,2020,7,1
238997,2020,18,1
239272,2018,1,53
239272,2018,2,2
239272,2018,6,1
239347,2017,1,57
239347,2017,2,9
239347,2017,3,2
242079,2017,1,311
242079,2017,2,5
242079,2017,3,10
242079,2020,1,311
242079,2020,2,5
242079,2020,3,10
242755,2017,1,71
242755,2017,2,3
245058,2016,1,37
245058,2016,2,1
245176,2018,1,426
245176,2018,2,17
245176,2018,3,1
245585,2018,1,1190
245585,2018,2,28
245585,2018,3,2
245585,2018,4,3
245586,2016,1,127
245586,2016,2,5
246673,2020,1,13
247584,2015,1,218
247584,2015,2,12
247588,2015,1,77
247786,2017,1,1411
247786,2017,2,99
247786,2017,3,17
247786,2017,4,5
247786,2017,5,1
248269,2016,1,1899
248269,2016,2,186
248269,2016,3,13
248269,2016,4,4
248269,2016,5,2
248269,2016,6,2
248269,2016,7,2
248269,2016,8,2
248269,2016,10,1
248269,2016,21,1
249515,2018,1,599
249515,2018,2,101
249515,2018,3,8
249515,2018,4,1
249515,2018,5,1
249963,2017,1,9
249963,2019,1,11
253192,2015,1,4312
253192,2015,2,160
253192,2015,3,37
253192,2015,4,2
253274,2018,1,7293
253274,2018,2,416
253274,2018,3,82
253274,2018,4,22
253274,2018,5,6
253274,2018,6,12
254071,2018,1,640
254071,2018,2,16
254071,2018,3,4
